name category barcode brand id manufacturer image_urls base_price offer_price discount
"Колготки Innamore Bella 70 Den цвет Daino размер 3" Колготки 6944944001300 Innamore 37812 ИТАЛКОМ ['https://api.bonjour-dv.ru/public_v1/products/37812/images/b0989ec38583c627.jpg'] 314 314 
"Мыло туалетное Absolut Classic освежающее 90 гр" "Туалетное мыло" 4601313002291 Absolut 34467 "Весна ОАО ПКК" ['https://api.bonjour-dv.ru/public_v1/products/34467/images/15e712a4bdbc77d.jpg'] 77 77 
"Чистящий порошок Сарма Антибактериальный эффект Лимон 400 гр" "Для сантехники" 4600697080710 Сарма 37145 "Невская Косметика АО" ['https://api.bonjour-dv.ru/public_v1/products/37145/images/7038180c060381c0e070.jpg'] 86 86 
"Чистящий порошок Чистин Лимонный всплеск 400г" Универсальные 4602984002795 Чистин 37142 "Ступинский химический завод ЗАО" ['https://api.bonjour-dv.ru/public_v1/products/37142/images/70381c0e070381c0e030.jpg'] 60 60 
"Чистящий гель Sanita Антижир  Мультисила Ultra 500 мл" "Для плит, духовок, СВЧ-печей" 4602984004515 Sanita 37141 "Ступинский химический завод ЗАО" ['https://api.bonjour-dv.ru/public_v1/products/37141/images/33677d712f2b3b1e.jpg'] 187 187 
"Чистящий крем Sanita Стеклокерамика 600 мл" "Для плит, духовок, СВЧ-печей" 4602984004508 Sanita 37139 "Ступинский химический завод ЗАО" ['https://api.bonjour-dv.ru/public_v1/products/37139/images/3b3f5717170b1f1e.jpg'] 181 181 
"Чистящий гель Sanfor WC Лимонная свежесть 1л" "Для сантехники" 4602984004874 Sanfor 37138 "Ступинский химический завод ЗАО" ['https://api.bonjour-dv.ru/public_v1/products/37138/images/c0c0c0c0c0c0c0c.jpg'] 228 228 
"Чистящий спрей Sanita с нашатырным спиртом 500 мл" "Для окон и зеркал" 4602984004867 Sanita 37136 "Ступинский химический завод ЗАО" ['https://api.bonjour-dv.ru/public_v1/products/37136/images/6060e060c0c0e06.jpg'] 219 187 15
"Чистящее средство Биолан Сочный Лимон 400 гр" Универсальные 4604049011131 Биолан 37120 Нэфис ['https://api.bonjour-dv.ru/public_v1/products/37120/images/4024140c05824120a040.jpg'] 94 72 23
"Пятновыводитель-отбеливатель Vanish Oxi Action Кристальная белизна 450 мл" "Отбеливатели, пятновыводители" 5900627027433 Vanish 37119 " Reckitt" ['https://api.bonjour-dv.ru/public_v1/products/37119/images/40e040c0c0c0c0c.jpg'] 317 270 15
"Полироль для мебели Mebelux для любых поверхностей 300 мл" "Для мебели и ковров" 4606682000701 Mebelux 37116 Гармония ['https://api.bonjour-dv.ru/public_v1/products/37116/images/c0c0c0c0c0c0c0c.jpg'] 202 202 
"Моющее средство Mr.Proper Классический Лимон 750 мл" "Для мытья пола" 5413149157378 Mr.Proper 37107 "Procter & Gamble" ['https://api.bonjour-dv.ru/public_v1/products/37107/images/c0c0c0c0c0c0c0c.jpg'] 248 248 
"Моющее средство Mr.Proper для полов и стен Лавандовое спокойствие 750мл" "Для мытья пола" 5413149819191 Mr.Proper 37106 "Procter & Gamble" ['https://api.bonjour-dv.ru/public_v1/products/37106/images/2010180e07038180c060.jpg'] 248 248 
"Белизна Sanfor 3в1 гель 700 мл" Универсальные 4602984001637 Sanfor 37099 "Ступинский химический завод ЗАО" ['https://api.bonjour-dv.ru/public_v1/products/37099/images/60101c0e060381c0e070.jpg'] 178 178 
"Носки Glamour Easy 40 Den цвет Nero" Носки 8051403014691 Glamour 38333 ИТАЛКОМ ['https://api.bonjour-dv.ru/public_v1/products/38333/images/0172b17c86072f36b341c0.jpg'] 150 150 
"Краска для волос L`Oreal Paris Casting Creme Gloss" "Краски для волос" 3600523029242 "L`Oreal Paris" 33966 "Л`Ореаль АО" "['https://api.bonjour-dv.ru/public_v1/products/33966/images/d868361e0f07833198f0.jpg', 'https://api.bonjour-dv.ru/public_v1/products/33966/images/8050652e9a8e66f39944.jpg', 'https://api.bonjour-dv.ru/public_v1/products/33966/images/010d0e8f0e8e9f47e37088.jpg', 'https://api.bonjour-dv.ru/public_v1/products/33966/images/01f0a87638188e8703c1c0.jpg', 'https://api.bonjour-dv.ru/public_v1/products/33966/images/01d6d707b617eb04eae1c2.jpg', 'https://api.bonjour-dv.ru/public_v1/products/33966/images/0154a64924924b66da6d34.jpg']" 781 586 25
"Мусс для волос Прелесть Bio Двойной объем с морскими минералами сверхсильной фиксации 160 мл" "Средства для укладки" 4600104020339 "Прелесть Bio" 33950 Арнест ['https://api.bonjour-dv.ru/public_v1/products/33950/images/c0c0c0c0c0c0c08.jpg'] 203 203 
"Дезодорант-антиперспирант спрей Rexona Легкость хлопка 150 мл" Спреи 8593838987831 Rexona 33949 "Юнилевер Русь ООО" "['https://api.bonjour-dv.ru/public_v1/products/33949/images/6b6766efe7676766.jpg', 'https://api.bonjour-dv.ru/public_v1/products/33949/images/2020203028282838.jpg', 'https://api.bonjour-dv.ru/public_v1/products/33949/images/20181c06030381c0e030.jpg']" 295 295 
"Батарейка Фотон алкалиновая тип А27 ВР1 напряжение: 12V 1 шт" "Элементы питания" 4630055087273 Фотон 123599 РОСЭЛ ['https://api.bonjour-dv.ru/public_v1/products/123599/images/d06c34190c860301a0c8.jpg'] 101 101 
"Чистящий порошок Пемолюкс Ослепительно белый 480 гр" Универсальные 9000100980692 Пемолюкс 37427 Henkel ['https://api.bonjour-dv.ru/public_v1/products/37427/images/c040c0c0c140c0c.jpg'] 103 103 
"Чистящий порошок Пемолюкс Морской бриз 480 гр" Универсальные 9000100980814 Пемолюкс 37426 Henkel ['https://api.bonjour-dv.ru/public_v1/products/37426/images/c04040c0c140c04.jpg'] 103 103 
"Чистящий порошок Пемолюкс Лимон 480 гр" Универсальные 9000100980739 Пемолюкс 37425 Henkel ['https://api.bonjour-dv.ru/public_v1/products/37425/images/404040c0c140c04.jpg'] 103 103 
"Чистящее средство Pigeon Power Drill Pung для чистки и профилактики засоров 1000мл" "Для прочистки труб" 8801101120121 Pigeon 37389 Корея ['https://api.bonjour-dv.ru/public_v1/products/37389/images/60e0e06061e1e16.jpg'] 357 357 
"Чистящее средство Мистер Чистер для удаления жира с кухонных поверхностей 500мл" "Для плит, духовок, СВЧ-печей" 4600697090863 "Мистер Чистер" 37383 "Невская Косметика АО" ['https://api.bonjour-dv.ru/public_v1/products/37383/images/60180c020181c0a04030.jpg'] 245 245 
"Пластины от моли Армоль 10 шт" "Средства от моли" 4600104007804 Армоль 37372 Арнест ['https://api.bonjour-dv.ru/public_v1/products/37372/images/d84c24140b06439180c8.jpg'] 82 82 
"Сменный баллон для автоматического освежителя воздуха Airwick Freshmatic Магнолия и цветущая вишня 250 мл" "Автоматические освежители" 4607109402177 Airwick 37368 " Reckitt" ['https://api.bonjour-dv.ru/public_v1/products/37368/images/1e1e1e06060e1e14.jpg'] 663 431 35
"Сменный баллон для автоматического освежителя воздуха Airwick Freshmatic Райские цветы 250 мл" "Автоматические освежители" 3059943009042 Airwick 37367 " Reckitt" ['https://api.bonjour-dv.ru/public_v1/products/37367/images/16160e16060e0e14.jpg'] 663 663 
"Чистящий порошок Сарма Антибактериальный эффект 400 гр" "Для сантехники" 4600697080727 Сарма 37361 "Невская Косметика АО" ['https://api.bonjour-dv.ru/public_v1/products/37361/images/602c180c060301c0e070.jpg'] 86 86 
"Чистящий гель Сарма для сантехники Антиржавчина 750 мл" "Для сантехники" 4600697070681 Сарма 37358 "Невская Косметика АО" ['https://api.bonjour-dv.ru/public_v1/products/37358/images/30180c06070381c0e070.jpg'] 177 142 20
"Чистящее средство Cillit Bang Анти-жир 750 мл" Универсальные 5900627024203 "Cillit Bang" 37351 " Reckitt" ['https://api.bonjour-dv.ru/public_v1/products/37351/images/c14041414040c0c.jpg'] 356 356 
"Средство для стирки жидкое Вoрсинка для шерсти и деликатных тканей 750 мл" "Гели и жидкие средства для стирки" 4600697020426 Вoрсинка 37350 "Невская Косметика АО" ['https://api.bonjour-dv.ru/public_v1/products/37350/images/20301c1b0e05a3c1e0e0.jpg'] 247 247 
"Дезодорант-антиперспирант спрей Rexona Антибактериальный эффект 150 мл" Спреи 8714100701751 Rexona 33096 "Юнилевер Русь ООО" "['https://api.bonjour-dv.ru/public_v1/products/33096/images/666666e6ee6e6666.jpg', 'https://api.bonjour-dv.ru/public_v1/products/33096/images/2828283028282838.jpg']" 295 295 
"Туалетная бумага Zewa Deluxe 3-х слойная Ромашка 12 рулонов" "Туалетная бумага" 7322540808995 Zewa 33049 "SCA Hygiene Products Russia" ['https://api.bonjour-dv.ru/public_v1/products/33049/images/4f03034d0000.jpg'] 731 731 
"Гель для лица Невская косметика Алоэ для глубокого очищения кожи 150 мл" "Гели, пенки для умывания" 4600697204642 "Невская косметика" 33083 "Невская Косметика АО" "['https://api.bonjour-dv.ru/public_v1/products/33083/images/6c321a050381c00000.jpg', 'https://api.bonjour-dv.ru/public_v1/products/33083/images/20303836990cc701c060.jpg']" 214 214 
"Масло для волос L`Oreal Paris Elseve Экстраординарное масло для секущихся кончиков 100 мл" "Маски для волос" 3600522510345 "L`Oreal Paris" 33031 "Л`Ореаль АО" "['https://api.bonjour-dv.ru/public_v1/products/33031/images/68747a64542b956be5f0.jpg', 'https://api.bonjour-dv.ru/public_v1/products/33031/images/e8747aa1542a579389ec.jpg', 'https://api.bonjour-dv.ru/public_v1/products/33031/images/3018080241b06000.jpg', 'https://api.bonjour-dv.ru/public_v1/products/33031/images/71730d4d61316103.jpg', 'https://api.bonjour-dv.ru/public_v1/products/33031/images/3010180c060381c0e070.jpg']" 762 572 25
