name,category,barcode,brand,id,manufacturer,image_urls,base_price,offer_price,promotion
Плед Экономь и Я Снежинки 150 х 180 см,Пледы и покрывала,6900068817302,Экономь и Я,110920,СИМА ОПТ,"https://api.bonjour-dv.ru/public_v1/products/110920/images/017239548a572291480000.jpg,https://api.bonjour-dv.ru/public_v1/products/110920/images/019623115ab3132182cd52.jpg,https://api.bonjour-dv.ru/public_v1/products/110920/images/70703c1e0e070383e1e0.jpg,https://api.bonjour-dv.ru/public_v1/products/110920/images/38150a259bcc07e5e0e2.jpg",842,842,
Соль для посудомоечных машин Five Plus 1.5 кг,Для посудомоечных машин,4602984011759,Five Plus,100965,Ступинский химический завод ЗАО,https://api.bonjour-dv.ru/public_v1/products/100965/images/17cac3c69713555.jpg,330,330,
Средство для мытья окон и стекол Expel Антидождь 450 мл,Для окон и зеркал,4640016745661,Expel,100575,4 Сезона (ЭПТ),https://api.bonjour-dv.ru/public_v1/products/100575/images/e0e0e0c0c0c0e0e.jpg,399,399,
Гель для устранения и профилактики засоров Expel Волосогон 500 мл,Для прочистки труб,4640016745678,Expel,100576,4 Сезона (ЭПТ),https://api.bonjour-dv.ru/public_v1/products/100576/images/1e1e0e1e060e0e0c.jpg,471,471,
Чистящий спрей Comet Стойкий блеск для ванной 450 мл,Для сантехники,8001480703636,Comet,100432,Procter & Gamble,https://api.bonjour-dv.ru/public_v1/products/100432/images/414040c1c180c0c.jpg,416,416,
Стиральный порошок Dosia Optima Color 1.2 кг,Стиральные порошки,4640018993251,Dosia,100154, Reckitt,https://api.bonjour-dv.ru/public_v1/products/100154/images/32333033b332612.jpg,245,245,
Чистящий гель Domestos ECO  Эвкалипт и Лимон 750 мл,Универсальные,8714100866061,Domestos,100072,Юнилевер Русь ООО,https://api.bonjour-dv.ru/public_v1/products/100072/images/6060c0c0c0c0c08.jpg,351,351,
"Чистящий гель Domestos ECO  Мята, Ирис и Пачули 750 мл",Универсальные,8714100865804,Domestos,100071,Юнилевер Русь ООО,https://api.bonjour-dv.ru/public_v1/products/100071/images/e060c0c0c0c0c08.jpg,351,351,
Гель для устранения и профилактики засоров Domestos 750 мл,Для прочистки труб,8714100864555,Domestos,99744,Юнилевер Русь ООО,https://api.bonjour-dv.ru/public_v1/products/99744/images/2030180c0703838180f0.jpg,333,333,
Стиральный порошок Garden Kids Экологичный детский без отдушки 1.4 кг,Стиральные порошки,4600104039867,Garden,99743,Гармония,https://api.bonjour-dv.ru/public_v1/products/99743/images/a1a0a0e161600.jpg,642,642,
Сменный баллон для автоматического освежителя воздуха Symphony Premium Чарующая магнолия 250 мл,Автоматические освежители,4600104038471,Symphony Premium,99586,Арнест,https://api.bonjour-dv.ru/public_v1/products/99586/images/e0e1e060e0e0e0e.jpg,451,451,
Сменный баллон для автоматического освежителя воздуха Symphony Premium Хрустальная свежесть 250 мл,Автоматические освежители,4600104038525,Symphony Premium,99585,Арнест,https://api.bonjour-dv.ru/public_v1/products/99585/images/e0e1e0e0e0e0e0e.jpg,451,451,
Сменный баллон для автоматического освежителя воздуха Symphony Premium Жемчужная лагуна 250 мл,Автоматические освежители,4600104038457,Symphony Premium,99584,Арнест,https://api.bonjour-dv.ru/public_v1/products/99584/images/e0e0e0e0e0e0e0e.jpg,451,451,
Сменный баллон для автоматического освежителя воздуха Symphony Premium Вишневая Сангрия 250 мл,Автоматические освежители,4600104038518,Symphony,99583,Арнест,https://api.bonjour-dv.ru/public_v1/products/99583/images/e0e160e0e0e0e0e.jpg,451,451,
Чистящий спрей Биочист Лоток для мойки туалетных лотков животных 500 мл,Поглотители запаха,4627140933706,Биочист,99318,ООО Экология города,https://api.bonjour-dv.ru/public_v1/products/99318/images/c0e0c0c0c0c0c04.jpg,259,259,
Средство для удаления и нейтрализации запахов от домашних животных Биочист Антизапах Zoo 500 мл,Поглотители запаха,4627140930118,Биочист,99317,ООО Экология города,https://api.bonjour-dv.ru/public_v1/products/99317/images/e0e0c0c0e0606.jpg,237,237,
Чистящий спрей Биочист Антизапах Zoo гипоаллергенно 0.5 л,Поглотители запаха,4627140933676,Биочист,99316,ООО Экология города,https://api.bonjour-dv.ru/public_v1/products/99316/images/1e1e1e1e0e0e0e06.jpg,266,266,
Средство для удаления и нейтрализации запахов от домашних животных Биочист триггер 500 мл,Поглотители запаха,4627140933614,Биочист,99315,ООО Экология города,https://api.bonjour-dv.ru/public_v1/products/99315/images/e0e0c0c0e0606.jpg,237,237,
Носки ХОХ женские белый размер 25,Носки,4690678065041,ХОХ,110426,ХОХ ТД ООО,https://api.bonjour-dv.ru/public_v1/products/110426/images/1a0f1ada8a04030000.jpg,100,100,
Носки ХОХ мужские черный размер 27,Носки,4690678004040,ХОХ,110421,ХОХ ТД ООО,https://api.bonjour-dv.ru/public_v1/products/110421/images/01e0e0380c0381e1a3c180.jpg,145,145,
Носки ХОХ мужские черный размер 25,Носки,4690678004033,ХОХ,110369,ХОХ ТД ООО,https://api.bonjour-dv.ru/public_v1/products/110369/images/01e0e0380c0381e1a3c180.jpg,145,145,
